Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
K1501 J,,1069,,,,,,,
K4003,,1467,,,,,,,
K4004,,356,,,,,,,
KW5401,,921,,,,,,,
100100-P,,184.5,100.56,187.86,102.24,125.82,,197.94,137.16
100100-S,,168,91.56,171.36,93.24,109.32,,181.44,120.66
100101-P,,184.5,100.56,187.86,102.24,,,197.94,
100101-S,,168,91.56,171.36,93.24,,,181.44,
100200 S,,,,,,,876.09,,
100200 DA,,,,,,,451.56,,
100200A-P,,295.79,211.85,299.15,213.53,208.27,,309.23,219.61
100200A-S,,279.29,202.85,282.65,204.53,191.77,,292.73,203.11
100200-P,,184.5,100.56,187.86,102.24,125.82,,197.94,137.16
100200-S,,168,91.56,171.36,93.24,109.32,,181.44,120.66
100202-P,,210.5,114.73,214.38,116.67,150.42,,226.02,163.58
100202-S,,194,105.73,197.88,107.67,133.92,,209.52,147.08
100300H-P,,190.5,103.83,193.98,105.57,137.64,,204.42,149.64
100300H-S,,174,94.83,177.48,96.57,121.14,,187.92,133.14
100300V-P,,190.5,103.83,193.98,105.57,137.64,,204.42,149.64
100300V-S,,174,94.83,177.48,96.57,121.14,,187.92,133.14
100305H-P,,190.5,103.83,193.98,105.57,137.64,,204.42,149.64
100305H-S,,174,94.83,177.48,96.57,121.14,,187.92,133.14
100305V-P,,190.5,103.83,193.98,105.57,137.64,,204.42,149.64
100305V-S,,174,94.83,177.48,96.57,121.14,,187.92,133.14
100400H C,,,,,,,995.16,,
100400H G,,,,,,,393.87,,
100400H S,,,,,,,876.98,,
100400H DA,,,,,,,452.86,,
100400H-P,,201.5,109.83,205.2,111.67,135.98,,216.3,148.63
100400H-S,,185,100.83,188.7,102.67,119.48,,199.8,132.13
100400V C,,,,,,,992.16,,
100400V G,,,,,,,393.87,,
100400V S,,,,,,,876.98,,
100400V DA,,,,,,,452.86,,
100400V-P,,201.5,109.83,205.2,111.67,135.98,,216.3,148.63
100400V-S,,185,100.83,188.7,102.67,119.48,,199.8,132.13
100403H C,,,,,,,995.16,,
100403H S,,,,,,,876.98,,
100403H DA,,,,,,,452.86,,
100403H-P,,201.5,109.83,205.2,111.67,135.98,,216.3,148.63
100403H-S,,185,100.83,188.7,102.67,119.48,,199.8,132.13
100403V C,,,,,,,995.16,,
100403V S,,,,,,,876.98,,
100403V DA,,,,,,,452.86,,
100403V-P,,201.5,109.83,205.2,111.67,135.98,,216.3,148.63
100403V-S,,185,100.83,188.7,102.67,119.48,,199.8,132.13
100500 C,,,,,,,996.89,,
100500 G,,,,,,,397.31,,
100500 S,,,,,,,878.73,,
100500 DA,,,,,,,456.77,,
100500H-P,,241.57,,245.09,,,,255.65,
100500H-S,,225.07,,228.59,,,,239.15,
100500-P,,192.5,104.92,196.02,106.68,128.64,,206.58,140.18
100500-S,,176,95.92,179.52,97.68,112.14,,190.08,123.68
100501-P,,229.5,,233.76,,,,246.54,
100501-S,,213,,217.26,,,,230.04,
100600-P,,201.5,109.83,205.2,111.67,,,216.3,
100600-S,,185,100.83,188.7,102.67,,,199.8,
100602-P,,172.5,94.02,175.62,95.58,116.51,,184.98,128.92
