Record ID,Short Number,Manufacturer Part Number,Description,Price
MDO1447 - MDKY-176600-PA99 -  6 PIN PATRIOT KEY BLANK - (REORDER AT 100 -  SEND 300) - MDKY-176600-PA99 -  6 PIN PATRIOT KEY BLANK - (REORDER AT 100 -  SEND 300) - MD366 -  - $3.86 ,MDO1447,,MDKY-176600-PA99 -  6 PIN PATRIOT KEY BLANK - (REORDER AT 100 -  SEND 300),3.85925
MDO1449 - KY-335600-FH99 -  DB3 -  5-PIN KEY BLANK - KY-335600-FH99 -  DB3 -  5-PIN KEY BLANK - MD597 -  - $4.18 ,MDO1449,,KY-335600-FH99 -  DB3 -  5-PIN KEY BLANK,4.18175
MDO1450 - MDKY-336600-FH99 -  DIE# UO65 -  DB3 -  6-PIN KEY BLANK - MDKY-336600-FH99 -  DIE# UO65 -  DB3 -  6-PIN KEY BLANK - MD598 -  - $6.17 ,MDO1450,,MDKY-336600-FH99 -  DIE# UO65 -  DB3 -  6-PIN KEY BLANK,6.1705
MDO1478 - Medeco CliqGo Annual Software - Medeco CliqGo Annual Software - MDE028 -  - $200.00 ,MDO1478,,Medeco CliqGo Annual Software,200.0
"MDO3277 - Medeco 1in Mortise Cylinder -  Original -  Bright Brass -  Shared - Medeco 1in Mortise Cylinder, Original, Bright Brass, Shared - 100100-05-04S - 100100-05-04-S - $210.31 ",MDO3277,100100-05-04-S,Medeco 1in Mortise Cylinder -  Original -  Bright Brass -  Shared,210.313
"MDO3278 - Medeco 1in Mortise Cylinder -  Original -  Satin Brass -  Shared - Medeco 1in Mortise Cylinder, Original, Satin Brass, Shared - 100100-06-04S - 100100-06-04-S - $210.31 ",MDO3278,100100-06-04-S,Medeco 1in Mortise Cylinder -  Original -  Satin Brass -  Shared,210.313
"MDO3279 - Medeco 1in Mortise Cylinder -  Original -  Oil Rubbed Bronze -  Shared - Medeco 1in Mortise Cylinder, Original, Oil Rubbed Bronze, Shared - 100100-13-04S - 100100-13-04-S - $210.31 ",MDO3279,100100-13-04-S,Medeco 1in Mortise Cylinder -  Original -  Oil Rubbed Bronze -  Shared,210.313
"MDO3280 - Medeco 1in Mortise Cylinder -  Original -  Flat Black -  Shared - Medeco 1in Mortise Cylinder, Original, Flat Black, Shared - 100100-22-04S - 100100-22-04-S - $210.31 ",MDO3280,100100-22-04-S,Medeco 1in Mortise Cylinder -  Original -  Flat Black -  Shared,210.313
"MDO3281 - Medeco 1in Mortise Cylinder -  Original -  Dark Bronze -  Shared - Medeco 1in Mortise Cylinder, Original, Dark Bronze, Shared - 100100-24-04S - 100100-24-04-S - $210.31 ",MDO3281,100100-24-04-S,Medeco 1in Mortise Cylinder -  Original -  Dark Bronze -  Shared,210.313
"MDO3282 - Medeco 1in Mortise Cylinder -  Original -  Satin Chrome -  Shared - Medeco 1in Mortise Cylinder, Original, Satin Chrome, Shared - 100100-26-04S - 100100-26-04-S - $210.31 ",MDO3282,100100-26-04-S,Medeco 1in Mortise Cylinder -  Original -  Satin Chrome -  Shared,210.313
"MDO3283 - Medeco 1in Mortise Cylinder -  Original -  Matte Black -  Shared - Medeco 1in Mortise Cylinder, Original, Matte Black, Shared - 100100-BB-04S - 100100-BB-04-S - $210.31 ",MDO3283,100100-BB-04-S,Medeco 1in Mortise Cylinder -  Original -  Matte Black -  Shared,210.313
"MDO2639 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Bright Brass - Medeco 1in Mortise Cylinder, M4-Bi Level, Bright Brass, Shared - 10H0100-05-43S - 100100H-05-43-S - $192.07 ",MDO2639,100100H-05-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Bright Brass,192.07025
"MDO2640 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Satin Brass - Medeco 1in Mortise Cylinder, M4-Bi Level, Satin Brass, Shared - 10H0100-06-43S - 100100H-06-43-S - $192.07 ",MDO2640,100100H-06-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Satin Brass,192.07025
"MDO2641 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Oil Rubbed Bronze - Medeco 1in Mortise Cylinder, M4-Bi Level, Oil Rubbed Bronze, Shared - 10H0100-13-43S - 100100H-13-43-S - $192.07 ",MDO2641,100100H-13-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Oil Rubbed Bronze,192.07025
"MDO2642 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Flat Black - Medeco 1in Mortise Cylinder, M4-Bi Level, Flat Black, Shared - 10H0100-22-43S - 100100H-22-43-S - $192.07 ",MDO2642,100100H-22-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Flat Black,192.07025
"MDO2643 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Dark Bronze - Medeco 1in Mortise Cylinder, M4-Bi Level, Dark Bronze, Shared - 10H0100-24-43S - 100100H-24-43-S - $192.07 ",MDO2643,100100H-24-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Dark Bronze,192.07025
"MDO2644 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Satin Chrome - Medeco 1in Mortise Cylinder, M4-Bi Level, Satin Chrome, Shared - 10H0100-26-43S - 100100H-26-43-S - $192.07 ",MDO2644,100100H-26-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Satin Chrome,192.07025
"MDO2645 - Medeco 1in Mortise Cylinder -  M4-Bi Level -  Matte Black - Medeco 1in Mortise Cylinder, M4-Bi Level, Matte Black, Shared - 10H0100-BB-43S - 100100H-BB-43-S - $192.07 ",MDO2645,100100H-BB-43-S,Medeco 1in Mortise Cylinder -  M4-Bi Level -  Matte Black,192.07025
"MDO2569 - Medeco 1in Mortise Cylinder -  M3 Bi-Level -  Bright Brass - Medeco 1in Mortise Cylinder, M3 Bi-Level, Bright Brass, Minneapolis Lock - 10J0100-05-DHS - 100100J-05-DH-S - $108.99 ",MDO2569,100100J-05-DH-S,Medeco 1in Mortise Cylinder -  M3 Bi-Level -  Bright Brass,108.99421774999999
