Record ID,Manufacturer Part Number,Short Number,Price
CAM1007 - MOMENTARY SWITCH -  SPDT - MOMENTARY SWITCH -  SPDT - CM109 - 1000/40 - $43.31 ,1000/40,CAM1007,43.31
CAM1008 - MAINTAINED SWITCH -  2 BLUE WIRES & 1 GREY WIRE. - MAINTAINED SWITCH -  2 BLUE WIRES & 1 GREY WIRE. - CM110 - 1000/45 - $43.31 ,1000/45,CAM1008,43.31
CAM1009 - WEATHERPROOF BOX WITH ON / OFF SWITCH. LESS MORTISE CYL. - WEATHERPROOF BOX WITH ON / OFF SWITCH. LESS MORTISE CYL. - CM124 - 1010 - $1.86 ,1010,CAM1009,1.86
CAM1016 - 1020 Single Gang w/Surface Box -  SPDT Momentary Switch -  Brushed Aluminum Finished - 1020 Single Gang w/Surface Box -  SPDT Momentary Switch -  Brushed Aluminum Finished - CM137 - 1020 - $7.15 ,1020,CAM1016,7.15
CAM1021 - Wireless Keypad Battery Operated -  XMTR INCL 999 users - Wireless Keypad Battery Operated -  XMTR INCL 999 users -  - 120TX - $304.79 ,120TX,CAM1021,304.79
CAM1005 - Super Mag Double Unit Outswing - Super Mag Double Unit Outswing - CM106 - 2020 - $165.53 ,2020,CAM1005,165.53
CAM1006 - NARROW STILE MOM SWITCH -  CRKBRZ. - NARROW STILE MOM SWITCH -  CRKBRZ. - CM107 - 2020DUR - $132.49 ,2020DUR,CAM1006,132.49
LAR1000 - Cherrry switch -  DPDT - Cherrry switch -  DPDT -  - 212219 - $10.00 ,212219,LAR1000,10.0
LAR1010 - 300 MHz Replacement Transmitter - 300 MHz Replacement Transmitter -  - 216546 - $98.00 ,216546,LAR1010,98.0
LAR1003 - 4 1/2 Universal Adapter Plate -  4 1/2 Square Switch - 4 1/2 Universal Adapter Plate -  4 1/2 Square Switch -  - 232481 - $16.75 ,232481,LAR1003,16.75
