Record ID,Manufacturer,Manufacturer Part Number,Price,Cost,MSRP,Internal Description,Frequently Used,Supplier,Description,Pricing Strategy,MSRP Adjustment,QBE Price,Last Pricing Update,Short Number,Old Short Number,Secondary Supplier,Tertiary Supplier,Pricing Source
CAM1007 - MOMENTARY SWITCH -  SPDT - MOMENTARY SWITCH -  SPDT - CM109 - 1000/40 - $43.31 ,Camden Controls,1000/40,43.31,15.7,41.21,MOMENTARY SWITCH -  SPDT,,Doyle Security Products,MOMENTARY SWITCH -  SPDT,MSRP Adjust,0.051,41.21,"Jun 21, 2022",CAM1007,CM109,Seclock,,Doyle Price List
CAM1008 - MAINTAINED SWITCH -  2 BLUE WIRES & 1 GREY WIRE. - MAINTAINED SWITCH -  2 BLUE WIRES & 1 GREY WIRE. - CM110 - 1000/45 - $43.31 ,Camden Controls,1000/45,43.31,16.49,41.21,MAINTAINED SWITCH -  2 BLUE WIRES & 1 GREY WIRE.,,Doyle Security Products,MAINTAINED SWITCH -  2 BLUE WIRES & 1 GREY WIRE.,MSRP Adjust,0.051,41.21,"Jun 21, 2022",CAM1008,CM110,Seclock,,Doyle Price List
CAM1009 - WEATHERPROOF BOX WITH ON / OFF SWITCH. LESS MORTISE CYL. - WEATHERPROOF BOX WITH ON / OFF SWITCH. LESS MORTISE CYL. - CM124 - 1010 - $1.86 ,Camden Controls,1010,1.86,0.71,1.77,WEATHERPROOF BOX WITH ON / OFF SWITCH. LESS MORTISE CYL.,,Doyle Security Products,WEATHERPROOF BOX WITH ON / OFF SWITCH. LESS MORTISE CYL.,MSRP Adjust,0.051,103.76,"Mar 08, 2024",CAM1009,CM124,Seclock,,Doyle Price List
CAM1016 - 1020 Single Gang w/Surface Box -  SPDT Momentary Switch -  Brushed Aluminum Finished - 1020 Single Gang w/Surface Box -  SPDT Momentary Switch -  Brushed Aluminum Finished - CM137 - 1020 - $7.15 ,Camden Controls,1020,7.15,2.72,6.8,1020 Single Gang w/Surface Box -  SPDT Momentary Switch -  Brushed Aluminum Finished,,Doyle Security Products,1020 Single Gang w/Surface Box -  SPDT Momentary Switch -  Brushed Aluminum Finished,MSRP Adjust,0.051,128.54,"Sep 19, 2023",CAM1016,CM137,Seclock,,Doyle Price List
CAM1021 - Wireless Keypad Battery Operated -  XMTR INCL 999 users - Wireless Keypad Battery Operated -  XMTR INCL 999 users -  - 120TX - $304.79 ,Camden Controls,120TX,304.79,174.0,290.0,Wireless Keypad Battery Operated -  XMTR INCL 999 users,,Seclock,Wireless Keypad Battery Operated -  XMTR INCL 999 users,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1021,,,,
CAM1005 - Super Mag Double Unit Outswing - Super Mag Double Unit Outswing - CM106 - 2020 - $165.53 ,Camden Controls,2020,165.53,44.54,157.5,Super Mag Double Unit Outswing,,Doyle Security Products,Super Mag Double Unit Outswing,MSRP Adjust,0.051,102.44,"Jun 21, 2022",CAM1005,CM106,Seclock,,Security Lock Price List
CAM1006 - NARROW STILE MOM SWITCH -  CRKBRZ. - NARROW STILE MOM SWITCH -  CRKBRZ. - CM107 - 2020DUR - $132.49 ,Camden Controls,2020DUR,132.49,50.36,126.06,NARROW STILE MOM SWITCH -  CRKBRZ.,,Doyle Security Products,NARROW STILE MOM SWITCH -  CRKBRZ.,MSRP Adjust,0.051,126.06,"Jun 21, 2022",CAM1006,CM107,Seclock,,Doyle Price List
CAM1012 - SURFACE/JAM BOX FOR 2020 SWITCH 1 5/8in DEEP. BLACK PLASTIC. - SURFACE/JAM BOX FOR 2020 SWITCH 1 5/8in DEEP. BLACK PLASTIC. - CM128 - 23D - $37.96 ,Camden Controls,23D,37.96,14.54,36.12,SURFACE/JAM BOX FOR 2020 SWITCH 1 5/8in DEEP. BLACK PLASTIC.,,Doyle Security Products,SURFACE/JAM BOX FOR 2020 SWITCH 1 5/8in DEEP. BLACK PLASTIC.,MSRP Adjust,0.051,36.12,"Jun 21, 2022",CAM1012,CM128,Seclock,,Doyle Price List
CAM1020 - Mounting Post for All-Active Switches -  42 High -  Single Gang Switch Prep -  Aluminum Finish - Mounting Post for All-Active Switches -  42 High -  Single Gang Switch Prep -  Aluminum Finish - CM001 - 42-BSU-CLR - $399.38 ,Camden Controls,42-BSU-CLR,399.38,267.33,380.0,Mounting Post for All-Active Switches -  42 High -  Single Gang Switch Prep -  Aluminum Finish,,Seclock,Mounting Post for All-Active Switches -  42 High -  Single Gang Switch Prep -  Aluminum Finish,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1020,CM001,,,
CAM1010 - EMERGENCY DOOR RELEASE  BLUE) - EMERGENCY DOOR RELEASE  BLUE) - CM125 - 701 - $113.82 ,Camden Controls,701,113.82,47.09,108.3,EMERGENCY DOOR RELEASE  BLUE),,Doyle Security Products,EMERGENCY DOOR RELEASE  BLUE),MSRP Adjust,0.051,108.3,"Jun 21, 2022",CAM1010,CM125,Seclock,,Doyle Price List
